contMencion,contPalabrasConArrDentro,contCaracterEspecial,contSignosPuntucion,contCaracMayusculas,contLetrasRepetidas,contParentesis,contEmojis,contOnomatopeyas,contInterjecciones,contInterpelaciones,contDiminutivos,contAumentativos,contPeroyativos,contSuperlativos,conDeterminantes,contIndeterminados,contDemostrativos,contPronombres1eraPersona,contPronombres2onaPersona,contVerbosSerEstarParecer,contVerbosEnPrimeraPersona,contVerbosEnSegundaPersona,contVerbosIndicativos,contVerbosSubjuntivos,contVerbosPresente,contVerbosImperativo,contVerbosPreterito,contVerbosFuturo,contVerbosCondicional,contVerbosParticipio,contVerbosGerundio,contAdverbiosCantidad,contAdverbiosNegacion,contAdverbiosDuda,contAdjetivosCantidad,likes,retweets,diaSetmana,hora,seguidors,seguits
0,0,0,2,2.206,1,0,0,2,4,4,1,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,71301,31204,9156
2,0,0,10,9.091,0,0,0,0,1,1,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,77567,3169,3366
2,0,0,6,6.135,3,0,0,1,2,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,73519,192,246
1,0,7,22,10.821,6,2,0,1,2,2,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,48813,4028,4444
0,0,0,1,5.882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,28306,82,49
1,0,3,7,6.542,2,0,0,2,3,3,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,73612,31204,9156
0,0,3,6,17.323,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,38157,8720,9604
1,0,0,3,5.932,3,0,0,0,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,38061,4028,4444
0,0,5,11,8.3,3,1,0,2,6,6,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,37823,4028,4444
2,0,0,9,3.571,2,0,0,0,1,1,0,0,1,0,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,33867,67,86
2,0,0,5,5.785,0,0,0,0,4,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,18983,268,270
1,0,0,7,5.217,0,0,0,3,4,4,0,0,1,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,92,26,6,638,3169,3366
5,0,0,13,5.137,2,0,2,0,1,1,1,2,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,66419,138,298
0,0,5,8,4.724,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,64099,0,0
1,0,0,6,6.122,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,63509,3843,4112
0,0,0,5,6.356,1,0,0,3,6,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,91,41,5,63218,13266,7447
0,0,3,8,5.66,5,0,0,0,1,1,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,5,60704,0,0
3,0,1,6,5.738,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,5,60381,223,518
2,0,2,6,6.542,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,55013,246,960
1,0,0,5,3.876,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,5,54485,130,231
0,0,3,8,4.598,2,0,0,0,1,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,4,5,53297,11784,706
1,0,0,3,5.946,2,0,0,2,3,3,1,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,50350,373,1114
0,0,0,3,3.256,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,10,5,5,48899,0,0
1,0,0,7,4.061,2,0,0,1,1,1,1,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,5,47981,79,225
0,0,0,7,2.62,0,0,0,1,4,3,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,5,45526,125,1234
0,0,0,1,5.063,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5,42315,423,220
0,0,3,9,5.825,3,0,0,4,4,4,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2,5,41034,883,762
0,0,3,9,6.926,3,0,0,1,1,1,2,0,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,40638,0,0
1,0,0,6,2.381,2,0,0,1,2,2,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,5,39971,8345,4121
4,0,3,12,8.621,2,0,0,0,0,0,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,38489,246,960
0,0,1,4,4.054,2,0,0,1,1,1,0,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,38488,2183,1919
0,0,0,1,4.167,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,36790,212,303
1,0,0,3,4.242,1,0,0,2,1,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,5,36668,3471,3243
1,0,3,13,6.25,4,0,0,4,5,5,0,1,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,5,36458,1334,614
0,0,0,4,8.511,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,36231,601,2133
0,0,3,12,6.19,6,0,0,4,3,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,36163,3471,3243
0,0,3,6,6.944,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,24,5,35665,6596,1912
0,0,3,8,6.283,4,0,0,2,2,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,35164,380,1299
1,0,0,6,1.288,0,0,0,2,1,2,0,1,0,0,3,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,33617,58,19
1,0,0,6,5.381,2,0,0,0,3,2,0,1,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,33234,58,19
1,0,0,2,7.692,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,32814,131,278
0,0,1,3,6.211,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,52,29,5,31881,1249,526
0,0,1,3,5.435,1,0,0,1,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,31826,223,518
1,0,0,4,6.579,2,0,0,1,1,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,5,31219,2022,3807
2,0,0,21,3.292,14,0,0,1,2,1,1,0,0,1,2,2,0,1,0,2,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,2,0,5,30609,466,588
0,0,5,9,9.278,3,0,0,6,7,7,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5,30423,165,268
1,0,2,5,6.107,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,30374,132,230
2,0,0,12,8.046,5,0,0,0,1,1,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,75669,77,58
1,0,11,22,8.984,4,0,0,2,5,6,1,1,0,1,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,60,45,2,66106,27463,984
17,0,3,30,16.538,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,52504,2780,5001
1,0,0,12,5.35,4,0,0,0,1,1,0,0,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,12,3,1,48073,2412,1533
0,0,3,11,4.511,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,1,33012,435,844
2,0,0,5,5.634,2,0,0,0,1,1,0,0,1,0,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,48273,5211,5273
2,0,2,9,5.761,0,1,0,0,0,0,0,0,2,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,5,4,74836,1993,1006
2,0,0,9,7.377,4,0,0,0,0,1,1,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,62026,2065,2858
2,0,3,17,4.348,5,0,0,1,1,2,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,32426,3990,4543
1,0,3,10,7.692,4,0,0,0,2,5,0,0,0,1,2,1,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,63,19,1,72779,6647,3773
4,0,0,9,6.818,1,0,0,1,2,3,0,1,1,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,45267,608,2475
2,0,0,2,4.762,7,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,44586,578,94
3,0,3,11,10.833,3,0,0,1,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,40549,594,999
4,0,0,8,7.5,3,0,0,0,0,1,1,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,39414,54,250
1,0,0,6,1.242,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,6,85171,87,463
0,0,0,0,98.837,1,0,0,3,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,79043,864,2168
3,0,0,5,9.559,0,0,0,1,2,2,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,76623,541,763
1,0,6,16,7.735,5,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,6,73137,594,999
0,0,1,5,4.348,2,0,0,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,6,72852,1909,769
3,0,3,10,8.759,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,63829,3735,3728
0,0,0,2,4.464,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,67619,150,218
3,0,0,6,2.927,5,0,0,3,3,3,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,43263,1751,1279
0,0,3,9,9.155,3,0,0,1,3,2,0,1,0,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,7,4,57830,21280,21209
0,0,3,8,9.22,3,0,0,1,3,2,0,1,0,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,29344,61,92
1,0,5,8,4.412,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,66795,240,510
1,0,3,7,7.746,4,0,0,1,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,58533,1699,1894
0,0,2,4,4.969,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,36045,2114,4998
1,0,0,6,3.788,0,0,0,0,2,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,2,47264,1751,1279
1,0,0,7,2.155,2,0,0,1,3,6,2,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,1,0,6,51417,2400,2923
3,0,0,9,5.366,3,0,0,0,1,1,0,2,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,49168,4,258
1,0,0,8,2.907,3,0,0,0,2,1,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,71886,28,259
0,0,0,0,2.469,0,0,0,1,2,1,1,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,71555,28,259
1,0,0,2,10.294,1,0,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,80583,1513,2537
4,0,0,12,11.243,4,0,0,0,0,0,0,1,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,74616,4,258
2,0,3,10,10.314,3,0,0,0,5,3,0,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,1,6,65117,6368,6440
0,0,0,4,3.922,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,6,41755,6368,6440
4,0,3,15,7.471,5,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,37557,4,258
0,0,0,0,9.272,3,0,0,1,2,2,1,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,69200,13653,7458
0,0,0,4,8.095,2,0,0,0,3,3,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,1,2,74880,13653,7458
0,0,0,0,5.581,3,0,0,0,5,6,0,0,0,0,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,54448,13653,7458
1,0,0,4,7.383,2,0,2,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,74435,578,94
4,0,1,13,4.779,1,0,0,1,3,3,2,2,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,85741,159,163
2,1,5,13,4.813,6,1,0,2,2,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,81912,3445,3072
1,0,7,13,12.568,7,0,0,1,1,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,6,86003,3445,3072
1,0,0,8,4.783,4,0,0,0,3,3,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,35,10,6,76085,2337,4132
0,0,0,3,1.829,0,0,0,1,2,3,0,0,0,1,3,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,49,8,6,51387,11445,997
0,0,0,7,11.798,1,0,0,2,5,3,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,65351,769,829
4,0,0,12,5.224,0,0,0,4,4,5,0,0,1,0,3,1,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,5,67144,46,201
1,0,0,6,28.287,1,0,0,1,1,3,1,1,0,2,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,50938,1841,3631
0,0,0,2,4.0,3,0,0,3,4,5,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,28236,0,0
2,1,0,4,6.061,2,0,0,2,3,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,40512,158,298
2,0,5,12,4.464,5,0,0,0,1,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,85540,1171,4665
0,0,3,10,4.297,5,0,0,0,4,2,1,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,652,294,0,44933,55090,9151
0,0,17,24,9.962,5,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,82809,15270,349
0,0,21,32,10.526,7,1,0,0,2,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,81010,15270,349
0,0,23,32,10.728,7,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,79232,15270,349
0,0,22,31,11.194,6,1,0,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,77412,15270,349
0,0,21,30,11.236,6,1,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,75610,15270,349
0,0,19,27,9.259,5,0,0,0,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,73806,15270,349
0,0,22,31,10.075,6,1,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,72047,15270,349
0,0,21,31,12.03,5,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,70212,15270,349
0,0,22,33,12.36,6,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,68411,15270,349
0,0,19,27,12.36,6,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,54036,15270,349
0,0,20,30,14.885,9,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,43213,15270,349
0,0,19,27,11.111,6,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,36034,15270,349
0,0,23,31,8.679,7,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,28834,15270,349
1,0,19,22,7.143,1,0,0,0,1,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,25975,15270,349
0,0,20,27,8.55,4,0,0,0,3,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,82807,15270,349
0,0,23,31,10.409,7,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,81002,15270,349
0,0,23,31,11.027,7,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,79203,15270,349
0,0,22,30,8.989,6,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,77412,15270,349
0,0,23,32,11.567,9,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,75640,15270,349
0,0,22,31,18.284,6,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,75625,15270,349
0,0,24,33,9.489,5,1,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,73803,15270,349
0,0,21,29,10.566,6,1,0,0,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,72024,15270,349
0,0,21,30,10.332,6,1,0,0,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,68428,15270,349
0,0,23,31,9.665,9,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,54006,15270,349
1,0,4,9,10.714,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,5,50416,567955,2157
0,0,7,13,4.42,5,1,0,0,2,2,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,5,5,46113,6265,880
0,0,1,3,6.818,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,43477,166,270
0,0,21,33,11.111,8,1,0,0,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,43217,15270,349
0,0,1,8,3.378,2,0,0,0,0,0,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,38727,466,532
7,0,11,27,16.288,7,0,2,1,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5,38690,7492,5707
0,0,19,26,25.66,4,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,37153,15270,349
0,0,6,18,20.779,7,0,0,1,3,3,0,3,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,204,41,5,36570,19871,272
0,0,20,31,8.779,7,1,0,0,3,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,36006,15270,349
0,0,5,7,8.264,2,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,10,5,32400,69320,239
0,0,19,26,7.865,4,0,0,0,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,28807,15270,349
0,0,4,6,8.889,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,10,5,7200,69320,239
0,0,1,3,10.526,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,6880,489,1655
1,0,4,7,12.048,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,182,24,5,6371,69320,239
0,0,4,6,8.434,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,29,5,5996,69320,239
0,0,1,8,2.0,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5,5976,68,189
0,0,1,1,3.333,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,5963,1217,381
1,0,1,7,2.358,4,0,0,1,4,7,0,1,0,0,2,2,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0,5,5920,2009,1674
0,0,1,3,4.762,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,5907,478,540
1,0,4,9,10.753,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,6,5,5905,567955,2157
2,0,4,9,11.111,4,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,5,5846,7492,5707
0,0,7,14,16.529,6,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,6,5,5751,18208,628
0,0,1,3,7.143,2,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,5724,2262,698
0,0,4,16,2.692,2,0,0,3,4,4,0,1,0,0,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,978,107,5,5710,69320,239
0,0,1,1,0.0,3,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5689,68,189
0,0,4,6,6.542,4,0,0,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,8,0,5,5636,114,34
0,0,4,7,21.978,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2,5,5617,7492,5707
0,0,1,2,8.955,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,5,5591,269,584
0,0,4,6,40.741,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5588,2262,698
0,0,4,9,11.966,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,5575,5677,626
